PUMA,coarse_bins,gender,phase,pop_scale_black,pop_scale_white,pop_scale_asian,pop_scale_other,pop_scale_latino,pop_scale_native,beds,county
02908,"[30,40)",Female,2020-03-01,786.1479452054795,3869.238356164384,184.5041095890411,102.27945205479452,136.37260273972603,13.36986301369863,338,oakland
02905,"[30,40)",Female,2020-03-01,245.0027397260274,1839.358904109589,466.9424657534247,43.11780821917809,116.31780821917808,4.67945205479452,700,oakland
02903,"[30,40)",Female,2020-03-01,194.53150684931504,2224.4109589041095,816.2301369863014,62.16986301369863,124.67397260273974,3.676712328767123,638,oakland
02902,"[30,40)",Female,2020-03-01,58.49315068493151,2233.435616438356,92.25205479452056,29.413698630136988,114.98082191780824,6.35068493150685,371,oakland
00200,"[30,40)",Female,2020-03-01,4.345205479452055,1842.0328767123287,13.704109589041096,66.18082191780822,26.07123287671233,235.3095890410959,907,alger
02101,"[30,40)",Female,2020-03-01,189.1835616438356,2178.9534246575345,71.86301369863014,50.136986301369866,89.57808219178082,10.027397260273974,490,kalamazoo
01003,"[30,40)",Female,2020-03-01,254.3616438356165,2531.583561643836,212.58082191780824,50.8054794520548,180.827397260274,11.364383561643836,430,kent
01004,"[30,40)",Female,2020-03-01,31.41917808219178,2202.3506849315067,31.753424657534246,31.41917808219178,104.28493150684932,6.35068493150685,77,kent
01002,"[30,40)",Female,2020-03-01,887.0904109589042,2462.3945205479454,112.97534246575344,107.96164383561644,748.7123287671233,21.39178082191781,1422,kent
02300,"[30,40)",Female,2020-03-01,79.21643835616439,2077.6767123287673,20.72328767123288,48.465753424657535,207.9013698630137,25.068493150684933,518,cass
01100,"[30,40)",Female,2020-03-01,19.72054794520548,3303.0246575342467,22.06027397260274,39.44109589041096,97.26575342465752,16.043835616438358,757,ionia
00400,"[30,40)",Female,2020-03-01,4.67945205479452,2412.591780821918,20.72328767123288,43.45205479452055,49.8027397260274,43.78630136986302,883,antrim
00500,"[30,40)",Female,2020-03-01,12.367123287671234,2422.2849315068493,26.07123287671233,38.104109589041094,81.89041095890411,57.824657534246576,881,benzie
02200,"[30,40)",Female,2020-03-01,29.079452054794523,1728.3890410958904,21.726027397260275,27.07397260273973,150.4109589041096,8.69041095890411,640,branch
00900,"[30,40)",Female,2020-03-01,18.71780821917808,1950.9972602739729,23.3972602739726,18.04931506849315,179.4904109589041,10.695890410958905,585,allegan
00100,"[70,80)",Female,2020-03-01,1.6712328767123288,2101.408219178082,10.027397260273974,13.36986301369863,9.35890410958904,19.386301369863016,1536,baraga
00801,"[70,80)",Female,2020-03-01,6.016438356164384,1198.2739726027398,13.035616438356165,6.684931506849315,52.14246575342466,4.67945205479452,458,ottawa
00802,"[70,80)",Female,2020-03-01,4.010958904109589,939.9013698630138,4.010958904109589,1.6712328767123288,7.687671232876712,1.0027397260273974,423,ottawa
00700,"[70,80)",Female,2020-03-01,168.7945205479452,1562.6027397260275,4.67945205479452,7.0191780821917815,21.726027397260275,6.35068493150685,774,muskegon
02400,"[70,80)",Female,2020-03-01,196.53698630136984,1661.5397260273974,13.704109589041096,16.71232876712329,25.4027397260274,4.345205479452055,774,berrien
01001,"[70,80)",Female,2020-03-01,22.72876712328767,1110.3671232876711,20.389041095890413,8.021917808219179,45.79178082191781,3.008219178082192,502,kent
00600,"[70,80)",Female,2020-03-01,23.063013698630137,1433.5835616438358,3.3424657534246576,6.35068493150685,27.742465753424657,9.024657534246575,628,lake
02500,"[70,80)",Female,2020-03-01,8.69041095890411,1559.5945205479452,8.69041095890411,10.36164383561644,32.42191780821918,4.010958904109589,667,hillsdale
01600,"[70,80)",Female,2020-03-01,6.35068493150685,1735.7424657534248,2.673972602739726,9.693150684931508,15.375342465753423,2.0054794520547947,807,huron
02000,"[70,80)",Female,2020-03-01,139.04657534246576,1949.660273972603,10.36164383561644,15.04109589041096,27.07397260273973,6.684931506849315,983,barry
00300,"[70,80)",Female,2020-03-01,1.6712328767123288,2165.583561643836,4.345205479452055,12.7013698630137,10.695890410958905,5.682191780821918,828,alcona
01200,"[70,80)",Female,2020-03-01,2.673972602739726,1377.0958904109589,5.013698630136987,8.356164383561644,17.715068493150685,10.36164383561644,1027,clare
01500,"[70,80)",Female,2020-03-01,305.50136986301374,1891.8356164383565,14.706849315068494,11.364383561643836,104.95342465753426,4.345205479452055,1038,saginaw
02102,"[70,80)",Female,2020-03-01,82.55890410958905,887.0904109589042,13.704109589041096,8.356164383561644,15.375342465753423,3.3424657534246576,511,kalamazoo
02600,"[70,80)",Female,2020-03-01,62.83835616438356,1547.227397260274,6.35068493150685,9.35890410958904,17.715068493150685,3.008219178082192,727,jackson
01400,"[70,80)",Female,2020-03-01,13.36986301369863,2165.9178082191784,18.04931506849315,12.032876712328768,32.087671232876716,7.687671232876712,1046,bay
01300,"[70,80)",Female,2020-03-01,1.0027397260273974,2029.879452054795,6.016438356164384,10.36164383561644,11.364383561643836,5.013698630136987,794,arenac
03211,"[70,80)",Female,2020-03-01,1134.4328767123288,130.69041095890412,7.353424657534247,18.71780821917808,9.35890410958904,4.010958904109589,1178,wayne
03212,"[70,80)",Female,2020-03-01,856.3397260273973,158.09863013698632,4.67945205479452,13.704109589041096,122.33424657534248,2.673972602739726,346,wayne
03207,"[70,80)",Female,2020-03-01,122,1043.8520547945209,9.693150684931508,6.016438356164384,57.156164383561645,2.673972602739726,163,wayne
03206,"[70,80)",Female,2020-03-01,26.73972602739726,1458.3178082191782,18.71780821917808,7.687671232876712,31.084931506849315,3.676712328767123,1050,wayne
03203,"[70,80)",Female,2020-03-01,48.8,1442.9424657534248,12.7013698630137,18.383561643835616,40.109589041095894,2.33972602739726,674,wayne
03205,"[70,80)",Female,2020-03-01,86.9041095890411,915.8356164383562,14.706849315068494,8.021917808219179,21.726027397260275,3.3424657534246576,575,wayne
03210,"[70,80)",Female,2020-03-01,781.1342465753424,103.95068493150686,18.04931506849315,13.704109589041096,4.010958904109589,1.0027397260273974,209,wayne
03201,"[70,80)",Female,2020-03-01,67.18356164383562,1352.3616438356164,78.88219178082193,8.69041095890411,18.383561643835616,3.676712328767123,440,wayne
03208,"[70,80)",Female,2020-03-01,1038.504109589041,186.84383561643835,6.35068493150685,14.706849315068494,17.38082191780822,2.673972602739726,672,wayne
03209,"[70,80)",Female,2020-03-01,1748.4438356164385,41.78082191780822,2.673972602739726,22.06027397260274,5.682191780821918,4.345205479452055,654,wayne
03204,"[70,80)",Female,2020-03-01,272.74520547945207,1387.123287671233,32.75616438356165,18.04931506849315,27.40821917808219,5.347945205479452,929,wayne
03202,"[70,80)",Female,2020-03-01,85.56712328767124,1588.339726027397,26.73972602739726,7.353424657534247,18.383561643835616,1.6712328767123288,1087,wayne
03300,"[70,80)",Female,2020-03-01,23.063013698630137,1467.6767123287673,4.345205479452055,7.687671232876712,15.70958904109589,2.33972602739726,717,monroe
02800,"[70,80)",Female,2020-03-01,2.673972602739726,1475.364383561644,7.0191780821917815,6.684931506849315,11.364383561643836,3.676712328767123,662,livingston
02901,"[70,80)",Female,2020-03-01,6.35068493150685,1021.1232876712328,6.016438356164384,5.013698630136987,10.027397260273974,1.336986301369863,444,oakland
01900,"[70,80)",Female,2020-03-01,39.775342465753425,1693.9616438356163,12.7013698630137,11.364383561643836,30.75068493150685,2.0054794520547947,819,clinton
03100,"[70,80)",Female,2020-03-01,26.405479452054795,1639.4794520547946,6.016438356164384,7.687671232876712,19.386301369863016,4.010958904109589,782,st. clair
03004,"[70,80)",Female,2020-03-01,86.56986301369864,1683.6,19.72054794520548,12.032876712328768,17.38082191780822,3.3424657534246576,766,macomb
03213,"[70,80)",Female,2020-03-01,374.0219178082192,719.6328767123288,25.736986301369864,8.69041095890411,9.35890410958904,2.0054794520547947,976,wayne
03001,"[70,80)",Female,2020-03-01,19.052054794520547,937.8958904109588,6.35068493150685,2.673972602739726,11.6986301369863,1.6712328767123288,474,macomb
03005,"[70,80)",Female,2020-03-01,64.17534246575343,1523.1616438356166,13.704109589041096,11.364383561643836,14.706849315068494,2.33972602739726,470,macomb
03002,"[70,80)",Female,2020-03-01,12.032876712328768,1356.0383561643837,26.73972602739726,7.353424657534247,10.695890410958905,2.673972602739726,424,macomb
03006,"[70,80)",Female,2020-03-01,60.83287671232877,1812.619178082192,32.087671232876716,13.36986301369863,14.372602739726029,2.673972602739726,1222,macomb
03003,"[70,80)",Female,2020-03-01,23.73150684931507,1312.2520547945203,57.824657534246576,14.372602739726029,12.367123287671234,2.0054794520547947,800,macomb
01801,"[70,80)",Female,2020-03-01,29.747945205479457,1172.8712328767124,33.42465753424658,10.027397260273974,16.378082191780823,2.0054794520547947,843,ingham
01802,"[70,80)",Female,2020-03-01,147.73698630136988,639.7479452054795,16.043835616438358,9.024657534246575,58.158904109589045,4.345205479452055,245,ingham
02701,"[70,80)",Female,2020-03-01,12.367123287671234,852.3287671232877,13.704109589041096,4.345205479452055,12.032876712328768,1.336986301369863,435,washtenaw
02703,"[70,80)",Female,2020-03-01,157.0958904109589,578.2465753424658,35.09589041095891,10.027397260273974,15.375342465753423,2.33972602739726,552,washtenaw
02702,"[70,80)",Female,2020-03-01,60.83287671232877,639.7479452054795,71.1945205479452,7.687671232876712,10.027397260273974,1.6712328767123288,232,washtenaw
01701,"[70,80)",Female,2020-03-01,34.42739726027398,1775.8520547945209,10.695890410958905,10.027397260273974,22.72876712328767,5.682191780821918,878,genesee
01704,"[70,80)",Female,2020-03-01,12.7013698630137,2093.7205479452055,8.69041095890411,12.7013698630137,20.72328767123288,4.010958904109589,1201,genesee
01702,"[70,80)",Female,2020-03-01,186.17534246575343,1141.1178082191782,8.356164383561644,13.704109589041096,21.39178082191781,6.684931506849315,427,genesee
01703,"[70,80)",Female,2020-03-01,511.7315068493151,366,5.013698630136987,16.378082191780823,20.054794520547947,2.33972602739726,117,genesee
02906,"[70,80)",Female,2020-03-01,95.92876712328768,1724.0438356164384,66.84931506849315,11.6986301369863,22.06027397260274,1.0027397260273974,1187,oakland
02904,"[70,80)",Female,2020-03-01,259.3753424657534,939.5671232876712,17.38082191780822,13.035616438356165,45.45753424657534,1.0027397260273974,425,oakland
02907,"[70,80)",Female,2020-03-01,607.6602739726028,1239.7205479452057,47.79726027397261,25.4027397260274,16.378082191780823,2.673972602739726,1201,oakland
02908,"[70,80)",Female,2020-03-01,200.213698630137,1551.2383561643835,35.09589041095891,22.72876712328767,18.04931506849315,3.3424657534246576,338,oakland
02905,"[70,80)",Female,2020-03-01,18.383561643835616,843.3041095890411,32.087671232876716,5.013698630136987,11.03013698630137,2.0054794520547947,700,oakland
02903,"[70,80)",Female,2020-03-01,33.09041095890411,1411.8575342465754,118.32328767123288,9.024657534246575,14.372602739726029,2.33972602739726,638,oakland
02902,"[70,80)",Female,2020-03-01,7.0191780821917815,893.1068493150685,14.372602739726029,6.016438356164384,11.6986301369863,2.673972602739726,371,oakland
00200,"[70,80)",Female,2020-03-01,1.0027397260273974,1713.013698630137,7.0191780821917815,22.39452054794521,6.684931506849315,76.20821917808219,907,alger
02101,"[70,80)",Female,2020-03-01,43.45205479452055,1220.3342465753426,10.027397260273974,8.021917808219179,10.027397260273974,2.0054794520547947,490,kalamazoo
01003,"[70,80)",Female,2020-03-01,35.09589041095891,1234.372602739726,27.742465753424657,7.687671232876712,16.71232876712329,4.010958904109589,430,kent
