GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALW1E001,NAME_M,ALW1M001
"G25004302","2015-2019","MA",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04302","79500US2504302",,,"Bristol County (Central)--Fall River City & Somerset Town PUMA, Massachusetts",48307,"Bristol County (Central)--Fall River City & Somerset Town PUMA, Massachusetts",2009
"G25004303","2015-2019","MA",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04303","79500US2504303",,,"Bristol County--Taunton City, Mansfield, Norton, Raynam, Dighton & Berkley Towns PUMA; Massachusetts",85318,"Bristol County--Taunton City, Mansfield, Norton, Raynam, Dighton & Berkley Towns PUMA; Massachusetts",3277
"G25004500","2015-2019","MA",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04500","79500US2504500",,,"Bristol County (South)--New Bedford City & Fairhaven Town PUMA, Massachusetts",48885,"Bristol County (South)--New Bedford City & Fairhaven Town PUMA, Massachusetts",1809
"G25004700","2015-2019","MA",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04700","79500US2504700",,,"Barnstable County (West)--Inner Cape Cod Towns & Barnstable Town City PUMA, Massachusetts",77235,"Barnstable County (West)--Inner Cape Cod Towns & Barnstable Town City PUMA, Massachusetts",2387
"G25004800","2015-2019","MA",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04800","79500US2504800",,,"Barnstable (East), Dukes & Nantucket Counties--Outer Cape Cod Towns PUMA; Massachusetts",72211,"Barnstable (East), Dukes & Nantucket Counties--Outer Cape Cod Towns PUMA; Massachusetts",1964
"G25004901","2015-2019","MA",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04901","79500US2504901",,,"Plymouth & Bristol Counties (Outside Brockton City) PUMA, Massachusetts",94975,"Plymouth & Bristol Counties (Outside Brockton City) PUMA, Massachusetts",2792
"G25004902","2015-2019","MA",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04902","79500US2504902",,,"Plymouth County (Central) PUMA, Massachusetts",100245,"Plymouth County (Central) PUMA, Massachusetts",2535
"G25004903","2015-2019","MA",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04903","79500US2504903",,,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA; Massachusetts",101020,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA; Massachusetts",2865
"G26000100","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00100","79500US2600100",,,"Western Upper Peninsula PUMA, Michigan",48167,"Western Upper Peninsula PUMA, Michigan",1007
"G26000200","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00200","79500US2600200",,,"Eastern Upper Peninsula PUMA, Michigan",46836,"Eastern Upper Peninsula PUMA, Michigan",1060
"G26000300","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00300","79500US2600300",,,"Northeast Lower Peninsula PUMA, Michigan",45869,"Northeast Lower Peninsula PUMA, Michigan",985
"G26000400","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00400","79500US2600400",,,"Northwest Lower Peninsula (East) PUMA, Michigan",51824,"Northwest Lower Peninsula (East) PUMA, Michigan",794
"G26000500","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00500","79500US2600500",,,"Northwest Lower Peninsula (West) PUMA, Michigan",60985,"Northwest Lower Peninsula (West) PUMA, Michigan",1429
"G26000600","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00600","79500US2600600",,,"Newaygo, Mason, Oceana & Lake Counties PUMA; Michigan",49023,"Newaygo, Mason, Oceana & Lake Counties PUMA; Michigan",1100
"G26000700","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00700","79500US2600700",,,"Muskegon County PUMA, Michigan",50854,"Muskegon County PUMA, Michigan",1187
"G26000801","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00801","79500US2600801",,,"Ottawa County (West) PUMA, Michigan",67376,"Ottawa County (West) PUMA, Michigan",1699
"G26000802","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00802","79500US2600802",,,"Ottawa County (East) PUMA, Michigan",71969,"Ottawa County (East) PUMA, Michigan",1723
"G26000900","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00900","79500US2600900",,,"Allegan County PUMA, Michigan",62965,"Allegan County PUMA, Michigan",2221
"G26001001","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01001","79500US2601001",,,"Kent County (Southwest) PUMA, Michigan",59185,"Kent County (Southwest) PUMA, Michigan",1522
"G26001002","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01002","79500US2601002",,,"Kent County (Central)--Grand Rapids City Area PUMA, Michigan",50039,"Kent County (Central)--Grand Rapids City Area PUMA, Michigan",1156
"G26001003","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01003","79500US2601003",,,"Kent County (Southeast) PUMA, Michigan",78183,"Kent County (Southeast) PUMA, Michigan",1899
"G26001004","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01004","79500US2601004",,,"Kent County (North) PUMA, Michigan",72681,"Kent County (North) PUMA, Michigan",1881
"G26001100","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01100","79500US2601100",,,"Ionia, Montcalm, Mecosta & Osceola Counties PUMA; Michigan",50110,"Ionia, Montcalm, Mecosta & Osceola Counties PUMA; Michigan",808
"G26001200","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01200","79500US2601200",,,"Isabella, Gratiot & Clare Counties PUMA; Michigan",44580,"Isabella, Gratiot & Clare Counties PUMA; Michigan",910
"G26001300","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01300","79500US2601300",,,"Iosco, Gladwin, Roscommon, Ogemaw & Arenac Counties PUMA; Michigan",42735,"Iosco, Gladwin, Roscommon, Ogemaw & Arenac Counties PUMA; Michigan",774
"G26001400","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01400","79500US2601400",,,"Bay & Midland Counties PUMA, Michigan",54352,"Bay & Midland Counties PUMA, Michigan",1021
"G26001500","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01500","79500US2601500",,,"Saginaw County PUMA, Michigan",48000,"Saginaw County PUMA, Michigan",920
"G26001600","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01600","79500US2601600",,,"Tuscola, Sanilac & Huron Counties PUMA; Michigan",48866,"Tuscola, Sanilac & Huron Counties PUMA; Michigan",798
"G26001701","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01701","79500US2601701",,,"Genesee (East) & Lapeer Counties PUMA, Michigan",62301,"Genesee (East) & Lapeer Counties PUMA, Michigan",1291
"G26001702","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01702","79500US2601702",,,"Genesee County (Central, Outside Flint City) PUMA; Michigan",42796,"Genesee County (Central, Outside Flint City) PUMA; Michigan",1771
"G26001703","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01703","79500US2601703",,,"Genesee County (Central)--Flint City Area PUMA, Michigan",28830,"Genesee County (Central)--Flint City Area PUMA, Michigan",1106
"G26001704","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01704","79500US2601704",,,"Genesee (West) & Shiawassee Counties PUMA, Michigan",62197,"Genesee (West) & Shiawassee Counties PUMA, Michigan",1242
"G26001801","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01801","79500US2601801",,,"Ingham County (South & East) PUMA, Michigan",65078,"Ingham County (South & East) PUMA, Michigan",1491
"G26001802","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01802","79500US2601802",,,"Ingham County (Northwest) PUMA, Michigan",41697,"Ingham County (Northwest) PUMA, Michigan",940
"G26001900","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01900","79500US2601900",,,"Eaton & Clinton Counties PUMA, Michigan",66369,"Eaton & Clinton Counties PUMA, Michigan",1294
"G26002000","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02000","79500US2602000",,,"Calhoun & Barry Counties PUMA, Michigan",53356,"Calhoun & Barry Counties PUMA, Michigan",1001
"G26002101","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02101","79500US2602101",,,"Kalamazoo County (Outer) PUMA, Michigan",64919,"Kalamazoo County (Outer) PUMA, Michigan",1733
"G26002102","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02102","79500US2602102",,,"Kalamazoo County (Central)--Kalamazoo & Portage Cities Area PUMA, Michigan",49237,"Kalamazoo County (Central)--Kalamazoo & Portage Cities Area PUMA, Michigan",1188
"G26002200","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02200","79500US2602200",,,"St. Joseph & Branch Counties PUMA, Michigan",52019,"St. Joseph & Branch Counties PUMA, Michigan",1013
"G26002300","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02300","79500US2602300",,,"Van Buren & Cass Counties PUMA, Michigan",54766,"Van Buren & Cass Counties PUMA, Michigan",1257
"G26002400","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02400","79500US2602400",,,"Berrien County PUMA, Michigan",50795,"Berrien County PUMA, Michigan",1113
"G26002500","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02500","79500US2602500",,,"Lenawee & Hillsdale Counties PUMA, Michigan",53451,"Lenawee & Hillsdale Counties PUMA, Michigan",1055
"G26002600","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02600","79500US2602600",,,"Jackson County PUMA, Michigan",53658,"Jackson County PUMA, Michigan",1143
"G26002701","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02701","79500US2602701",,,"Washtenaw County (West, Northeast & Southeast) PUMA; Michigan",94064,"Washtenaw County (West, Northeast & Southeast) PUMA; Michigan",2436
"G26002702","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02702","79500US2602702",,,"Washtenaw County (East Central)--Ann Arbor City Area PUMA, Michigan",66411,"Washtenaw County (East Central)--Ann Arbor City Area PUMA, Michigan",3007
"G26002703","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02703","79500US2602703",,,"Washtenaw County (East Central, Outside Ann Arbor City) PUMA; Michigan",61515,"Washtenaw County (East Central, Outside Ann Arbor City) PUMA; Michigan",1824
"G26002800","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02800","79500US2602800",,,"Livingston County PUMA, Michigan",84221,"Livingston County PUMA, Michigan",1674
"G26002901","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02901","79500US2602901",,,"Oakland County (West) PUMA, Michigan",85597,"Oakland County (West) PUMA, Michigan",2588
"G26002902","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02902","79500US2602902",,,"Oakland County (Northeast) PUMA, Michigan",97200,"Oakland County (Northeast) PUMA, Michigan",2510
"G26002903","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02903","79500US2602903",,,"Oakland County (East Central)--Troy & Rochester Area PUMA, Michigan",97379,"Oakland County (East Central)--Troy & Rochester Area PUMA, Michigan",2349
"G26002904","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02904","79500US2602904",,,"Oakland County (Central) PUMA, Michigan",51159,"Oakland County (Central) PUMA, Michigan",994
"G26002905","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02905","79500US2602905",,,"Oakland County (Southwest) PUMA, Michigan",89263,"Oakland County (Southwest) PUMA, Michigan",2513
"G26002906","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02906","79500US2602906",,,"Oakland County (Central)--Birmingham & Bloomfield Area PUMA, Michigan",116054,"Oakland County (Central)--Birmingham & Bloomfield Area PUMA, Michigan",2601
"G26002907","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02907","79500US2602907",,,"Oakland County (South Central)--Farmington & Southfield Area PUMA, Michigan",68384,"Oakland County (South Central)--Farmington & Southfield Area PUMA, Michigan",1256
"G26002908","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02908","79500US2602908",,,"Oakland County (Southeast) PUMA, Michigan",66798,"Oakland County (Southeast) PUMA, Michigan",1572
"G26003001","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03001","79500US2603001",,,"Macomb County (North) PUMA, Michigan",77338,"Macomb County (North) PUMA, Michigan",2091
"G26003002","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03002","79500US2603002",,,"Macomb County (Central) PUMA, Michigan",87848,"Macomb County (Central) PUMA, Michigan",2269
"G26003003","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03003","79500US2603003",,,"Macomb County (Southwest)--Sterling Heights City PUMA, Michigan",64833,"Macomb County (Southwest)--Sterling Heights City PUMA, Michigan",1568
"G26003004","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03004","79500US2603004",,,"Macomb County (Southeast)--Mount Clemens & Fraser Area PUMA, Michigan",56685,"Macomb County (Southeast)--Mount Clemens & Fraser Area PUMA, Michigan",1461
"G26003005","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03005","79500US2603005",,,"Macomb County (Southeast)--St. Clair Shores, Roseville & Eastpointe Area PUMA; Michigan",53719,"Macomb County (Southeast)--St. Clair Shores, Roseville & Eastpointe Area PUMA; Michigan",982
"G26003006","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03006","79500US2603006",,,"Macomb County (Southwest)--Warren & Center Line Cities PUMA, Michigan",49269,"Macomb County (Southwest)--Warren & Center Line Cities PUMA, Michigan",1384
"G26003100","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03100","79500US2603100",,,"St. Clair County PUMA, Michigan",56951,"St. Clair County PUMA, Michigan",1163
"G26003201","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03201","79500US2603201",,,"Wayne County (Northwest) PUMA, Michigan",86372,"Wayne County (Northwest) PUMA, Michigan",1586
"G26003202","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03202","79500US2603202",,,"Wayne County (North Central)--Livonia City & Redford Charter Township PUMA, Michigan",70880,"Wayne County (North Central)--Livonia City & Redford Charter Township PUMA, Michigan",1340
"G26003203","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03203","79500US2603203",,,"Wayne County (Central)--Dearborn & Dearborn Heights Cities PUMA, Michigan",52005,"Wayne County (Central)--Dearborn & Dearborn Heights Cities PUMA, Michigan",1331
"G26003204","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03204","79500US2603204",,,"Wayne County (Central)--Westland, Garden City, Inkster & Wayne Cities PUMA; Michigan",48798,"Wayne County (Central)--Westland, Garden City, Inkster & Wayne Cities PUMA; Michigan",1295
"G26003205","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03205","79500US2603205",,,"Wayne County (Southwest) PUMA, Michigan",53872,"Wayne County (Southwest) PUMA, Michigan",1753
"G26003206","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03206","79500US2603206",,,"Wayne County (Southeast)--Downriver Area (South) PUMA, Michigan",67243,"Wayne County (Southeast)--Downriver Area (South) PUMA, Michigan",2083
"G26003207","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03207","79500US2603207",,,"Wayne County (Southeast)--Downriver Area (North) PUMA, Michigan",49233,"Wayne County (Southeast)--Downriver Area (North) PUMA, Michigan",1501
"G26003208","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03208","79500US2603208",,,"Detroit City (Northwest) PUMA, Michigan",31244,"Detroit City (Northwest) PUMA, Michigan",729
"G26003209","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03209","79500US2603209",,,"Detroit City (North Central) PUMA, Michigan",34765,"Detroit City (North Central) PUMA, Michigan",1437
"G26003210","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03210","79500US2603210",,,"Detroit City (Northeast) PUMA, Michigan",31879,"Detroit City (Northeast) PUMA, Michigan",778
"G26003211","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03211","79500US2603211",,,"Detroit City (South Central & Southeast) PUMA, Michigan",30222,"Detroit City (South Central & Southeast) PUMA, Michigan",912
"G26003212","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03212","79500US2603212",,,"Detroit City (Southwest) PUMA, Michigan",26791,"Detroit City (Southwest) PUMA, Michigan",953
"G26003213","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03213","79500US2603213",,,"Wayne County (Northeast)--I-94 Corridor PUMA, Michigan",51601,"Wayne County (Northeast)--I-94 Corridor PUMA, Michigan",1717
"G26003300","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03300","79500US2603300",,,"Monroe County PUMA, Michigan",62203,"Monroe County PUMA, Michigan",1547
"G27000100","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00100","79500US2700100",,,"Clay, Polk, Roseau, Pennington, Marshall, Norman, Kittson & Red Lake Counties PUMA; Minnesota",62027,"Clay, Polk, Roseau, Pennington, Marshall, Norman, Kittson & Red Lake Counties PUMA; Minnesota",1392
"G27000200","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00200","79500US2700200",,,"Beltrami, Becker, Hubbard, Clearwater, Mahnomen & Lake of the Woods Counties PUMA; Minnesota",53227,"Beltrami, Becker, Hubbard, Clearwater, Mahnomen & Lake of the Woods Counties PUMA; Minnesota",1354
"G27000300","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00300","79500US2700300",,,"Itasca, Carlton (South), Cass & Aitkin Counties--Grand Rapids City PUMA; Minnesota",55555,"Itasca, Carlton (South), Cass & Aitkin Counties--Grand Rapids City PUMA; Minnesota",865
"G27000400","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00400","79500US2700400",,,"St. Louis (North), Koochiching, Lake & Cook Counties--Hibbing & Cloquet Cities PUMA; Minnesota",56508,"St. Louis (North), Koochiching, Lake & Cook Counties--Hibbing & Cloquet Cities PUMA; Minnesota",1142
"G27000500","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00500","79500US2700500",,,"St. Louis County (Southeast)--Duluth, Hermantown & Proctor Cities PUMA; Minnesota",54501,"St. Louis County (Southeast)--Duluth, Hermantown & Proctor Cities PUMA; Minnesota",1500
"G27000600","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00600","79500US2700600",,,"Chisago, Isanti, Pine, Mille Lacs & Kanabec Counties PUMA; Minnesota",68228,"Chisago, Isanti, Pine, Mille Lacs & Kanabec Counties PUMA; Minnesota",1082
"G27000700","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00700","79500US2700700",,,"Crow Wing, Morrison, Todd & Wadena Counties PUMA; Minnesota",55233,"Crow Wing, Morrison, Todd & Wadena Counties PUMA; Minnesota",1059
"G27000800","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00800","79500US2700800",,,"West Central Minnesota PUMA, Minnesota",59316,"West Central Minnesota PUMA, Minnesota",925
"G27000900","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00900","79500US2700900",,,"Stearns County--St. Cloud City PUMA, Minnesota",62789,"Stearns County--St. Cloud City PUMA, Minnesota",1389
"G27001000","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01000","79500US2701000",,,"Sherburne & Benton Counties PUMA, Minnesota",77984,"Sherburne & Benton Counties PUMA, Minnesota",2190
"G27001101","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01101","79500US2701101",,,"Anoka County (Northwest)--Andover, Ramsey, Anoka & East Bethel Cities PUMA; Minnesota",91916,"Anoka County (Northwest)--Andover, Ramsey, Anoka & East Bethel Cities PUMA; Minnesota",1655
"G27001102","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01102","79500US2701102",,,"Anoka County (Southwest)--Coon Rapids, Fridley & Columbia Heights Cities PUMA; Minnesota",65320,"Anoka County (Southwest)--Coon Rapids, Fridley & Columbia Heights Cities PUMA; Minnesota",1536
"G27001103","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01103","79500US2701103",,,"Anoka County (East)--Blaine, Lino Lakes & Ham Lake Cities PUMA; Minnesota",91664,"Anoka County (East)--Blaine, Lino Lakes & Ham Lake Cities PUMA; Minnesota",2215
"G27001201","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01201","79500US2701201",,,"Washington County (North)--Oakdale, Forest Lake, Stillwater & Hugo Cities PUMA; Minnesota",89870,"Washington County (North)--Oakdale, Forest Lake, Stillwater & Hugo Cities PUMA; Minnesota",2719
"G27001202","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01202","79500US2701202",,,"Washington County (South)--Woodbury & Cottage Grove Cities PUMA, Minnesota",103040,"Washington County (South)--Woodbury & Cottage Grove Cities PUMA, Minnesota",2588
"G27001301","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01301","79500US2701301",,,"Ramsey County (North)--Shoreview, White Bear Lake & New Brighton Cities PUMA; Minnesota",82115,"Ramsey County (North)--Shoreview, White Bear Lake & New Brighton Cities PUMA; Minnesota",1883
"G27001302","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01302","79500US2701302",,,"Ramsey County (Central & Far Southeast)--Maplewood, Roseville & North St. Paul Cities PUMA; Minnesota",67633,"Ramsey County (Central & Far Southeast)--Maplewood, Roseville & North St. Paul Cities PUMA; Minnesota",2062
"G27001303","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01303","79500US2701303",,,"Ramsey County (Southeast)--St. Paul City (East) PUMA, Minnesota",52328,"Ramsey County (Southeast)--St. Paul City (East) PUMA, Minnesota",1467
"G27001304","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01304","79500US2701304",,,"Ramsey County (Southwest)--St. Paul City (West) PUMA, Minnesota",63323,"Ramsey County (Southwest)--St. Paul City (West) PUMA, Minnesota",1254
"G27001401","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01401","79500US2701401",,,"Hennepin County (West)--Champlin, Rogers Cities & Lake Minnetonka PUMA; Minnesota",111335,"Hennepin County (West)--Champlin, Rogers Cities & Lake Minnetonka PUMA; Minnesota",2493
"G27001402","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01402","79500US2701402",,,"Hennepin County--Plymouth, Maple Grove (West) & Medicine Lake Cities PUMA; Minnesota",113121,"Hennepin County--Plymouth, Maple Grove (West) & Medicine Lake Cities PUMA; Minnesota",2839
"G27001403","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01403","79500US2701403",,,"Hennepin County--Brooklyn Park, Maple Grove (East) & Osseo Cities PUMA; Minnesota",78837,"Hennepin County--Brooklyn Park, Maple Grove (East) & Osseo Cities PUMA; Minnesota",2288
"G27001404","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01404","79500US2701404",,,"Hennepin County--Brooklyn Center, Golden Valley, New Hope & Robbinsdale Cities PUMA; Minnesota",68616,"Hennepin County--Brooklyn Center, Golden Valley, New Hope & Robbinsdale Cities PUMA; Minnesota",2164
"G27001405","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01405","79500US2701405",,,"Hennepin County--Minneapolis (North) & St. Anthony Cities PUMA, Minnesota",53099,"Hennepin County--Minneapolis (North) & St. Anthony Cities PUMA, Minnesota",1614
